   1345.60    13.384		0.16240E+02
   1346.80    13.359		0.16606E+02
   1348.00    13.403		0.15956E+02
   1349.20    13.448		0.15305E+02
   1350.40    13.459		0.15149E+02
   1351.60    13.436		0.15477E+02
   1352.80    13.458		0.15159E+02
   1354.00    13.428		0.15585E+02
   1355.20    13.477		0.14907E+02
   1356.40    13.491		0.14709E+02
   1357.40    13.488		0.14755E+02
   1358.60    13.453		0.15236E+02
   1359.80    13.443		0.15375E+02
   1361.00    13.408		0.15883E+02
   1362.20    13.443		0.15369E+02
   1363.40    13.466		0.15054E+02
   1364.60    13.376		0.16349E+02
   1365.80    13.379		0.16308E+02
   1367.00    13.481		0.14843E+02
   1368.20    13.451		0.15255E+02
   1369.20    13.487		0.14760E+02
   1370.40    13.523		0.14278E+02
   1371.60    13.475		0.14929E+02
   1372.80    13.437		0.15467E+02
   1374.00    13.488		0.14751E+02
   1375.20    13.471		0.14986E+02
